#,Black player,Rank,White player,Rank,Result,# moves,Date,Event,Round
1,Lee Sedol,9p,Iyama Yuta,9p,B+R,227,2017-02-27, , 
2,Park Jungsang,9p,Ch'oe Ch'eol-han,9p,W+R,152,2017-02-27, , 
3,janghyeryeong [~],1p ?,bagtaehyi [~],1p ?,W+R,155,2017-02-26, , 
4,oyujin [~],5p,joseung'a [~],1p ?,B+R,129,2017-02-26, , 
5,iyeongju [~],2p,ojeong'a [~],3p,W+R,220,2017-02-26, , 
6,beihai [~],9p,ORO,9p,W+R,251,2017-02-26, , 
7,Kim Eunseon,5p,Li He,5p,B+2.5,342,2017-02-25, , 
8,Jin Caiying,2p,Kim Hyeomin,8p,B+R,221,2017-02-25, , 
9,iyujin [~],1p ?,Cho Hyeyeon,9p,W+6.5,259,2017-02-25, , 
10,beihai [~],9p,ORO,9p,B+R,205,2017-02-25, , 
11,ORO,9p,beihai [~],9p,B+R,153,2017-02-25, , 
12,Wang Yuanjun,8p,Àµ¾ù¸¨,2p,B+R,231,2017-02-24, , 
13,gweonjuri [~],1p ?,Kim Miri,3p,W+2.5,283,2017-02-24, , 
14,Choi Jung,7p,Park Jiyeon,4p,B+R,141,2017-02-24, , 
15,Kim Yunyoung,4p,ssungrunghui [~],5p,B+1.5,285,2017-02-24, , 
16,Ïò¾®Ç§çø,5p,Kato Keiko,6p,B+R,189,2017-02-24, , 
17,Lee Sula,4p,songhyeryeong [~],1p ?,W+R,206,2017-02-23, , 
18,Park Jieun,9p,gimdayeong [~],1p ?,W+6.5,236,2017-02-23, , 
19,Hane Naoki,9p,Tanaka Nobuyuki,3p,B+R,165,2017-02-23,"Oza, 65th, last preliminary tournament", 
20,O Rissei,9p,É¼±¾Ã÷,8p,B+1.5,238,2017-02-23, , 
21,´óÎ÷ÁúÆ½,2p,Cho Chikun,9p,W+R,234,2017-02-23, , 
22,ÁùÆÖÐÛÌ«,3p,Hikosaka Naoto,9p,W+0.5,299,2017-02-23, , 
23,Rin Kanketsu,7p,Takemiya Masaki,9p, ,207,2017-02-23, , 
24,Lee Min Jin,7p,Rui Naiwei,9p,B+10.5,262,2017-02-23, , 
25,¾®¿Ú·áÐã,8p,Cho U,9p,B+R,245,2017-02-23, , 
26,»Æå«èº, ,ÁÖÏþÍ®, ,W+R,148,2017-02-22, , 
27,²ÌÏÍÖÁ, ,ÁÖÏþÍ®, ,W+R,204,2017-02-22, , 
28,ÀîÏàÐ­, ,´ó¹Øïþ, ,W+R,222,2017-02-22, , 
29,ÔøÆ½ÐÄ, ,´ó¹Øïþ, ,W+R,168,2017-02-22, , 
30,Â¥ÔÆåÐ, ,ÍõÊ«æ¼, ,B+R,119,2017-02-22, , 
31,Â¥ÔÆåÐ, ,ÌÙÔ­ÕÃ×Ó, ,B+R,123,2017-02-22, , 
32,ÀîÏàÐ­, ,ËÎÔÚ»¸, ,B+R,155,2017-02-22, , 
33,ÔøÆ½ÐÄ, ,ËÎÔÚ»¸, ,W+R,134,2017-02-22, , 
34,´óÖñÓÅ,1p ?,Ûà¾®áÔË¾,1p ?, ,342,2017-02-22, , 
35,Äñ¾®Ô£Ì«,1p ?,Ö¥Ò°ÁúÖ®½é,1p ?,W+R,250,2017-02-22, , 
36,Î÷¸ÔÕýÖ¯,1p ?,°²ÌáÌØ¶ûÃ·Äþ,1p ?,B+R,133,2017-02-22, , 
37,Guan Da,3p,Óî¹È¿¡Ì«,1p ?,W+R,164,2017-02-22, , 
38,ÐÜ±¾ÐãÉú,3p,ÍâÁøÊÇÎÅ,2p,W+R,194,2017-02-22, , 
39,´óÖñÓÅ,1p ?,ÖñÄÚ¿µµv,3p,W+R,196,2017-02-22, , 
40,º×ÌïºÍÖ¾,4p,Ò¦ÖÇÌÚ,4p,W+R,234,2017-02-22, , 
41,¶¡ºÆ,4p,Mao Ruilong,5p,W+R,214,2017-02-22, , 
42,Zhang Tao,5p,Gu Lingyi,5p,W+R,152,2017-02-22, , 
43,Zhou Hexi,5p,Chen Hao,5p,W+R,230,2017-02-22, , 
44,Dang Yifei,9p,Guo Wenchao,5p,W+2,299,2017-02-22, , 
45,Park Jungwhan,9p,Fan Yunruo,5p,W+1.5,282,2017-02-22,"Nongshim Cup, 18th",11th round
46,ceonjeujien [~],4p,Tao Xinran,6p,B+3,337,2017-02-22, , 
47,·¶Ø·,6p,Sun Tengyu,7p,B+R,187,2017-02-22, , 
48,Qin Yuexin,4p,Xie He,9p,W+R,164,2017-02-22, , 
49,seolhyeonjun [~],3p,coeyeongcan [~],1p ?,B+R,113,2017-02-21, , 
50,Iyama Yuta,9p,Park Jungwhan,9p,W+R,196,2017-02-21,"Nongshim Cup, 18th",10th round
51,¶¡ºÆ,4p,³ÂÕýÑ«,2p,B+R,157,2017-02-20, , 
52,coeyeongcan [~],1p ?,seolhyeonjun [~],3p,W+R,120,2017-02-20, , 
53,Ô­ÕýºÍ,2p,ÖñÄÚ¿µµv,3p,B+R,97,2017-02-20, , 
54,Chen Hao,5p,ÀîÎ¬Çå,4p,B+R,259,2017-02-20, , 
55,º«Ò»ÖÞ,5p,ceonjeujien [~],4p,W+R,242,2017-02-20, , 
56,Zhang Tao,5p,Yu Zheng,5p,B+R,185,2017-02-20, , 
57,Gan Siyang,5p,Guo Wenchao,5p,W+R,214,2017-02-20, , 
58,Liu Xing,7p,Yu Zhi Ying,5p,W+R,158,2017-02-20, , 
59,Qin Yuexin,4p,ÑÏ»¶,6p,B+R,251,2017-02-20, , 
60,·¶Ø·,6p,Zhang Li,6p, ,249,2017-02-20, , 
61,´óÎ÷ÁúÆ½,2p,Yamashita Keigo,9p,W+R,192,2017-02-20, , 
62,Îâ°ØÒã,2p,Yamashita Keigo,9p,W+R,178,2017-02-20, , 
63,´óÎ÷ÁúÆ½,2p,Cho U,9p,B+R,215,2017-02-20, , 
64,Fujisawa Rina,3p,Takao Shinji,9p,B+R,227,2017-02-20, , 
65,Fujisawa Rina,3p,Kono Rin,9p,W+R,114,2017-02-20, , 
66,Kono Rin,9p,Yuki Satoshi,9p,B+Time,113,2017-02-20, , 
67,ojeong'a [~],3p,gimdayeong [~],1p ?,B+R,165,2017-02-19, , 
68,Lee Sula,4p,wirijwin [~],1p ?,B+R,129,2017-02-19, , 
69,Lee Min Jin,7p,joseung'a [~],1p ?,W+0.5,275,2017-02-19, , 
70,nyueiko [~],1p ?,songhyeryeong [~],1p ?,W+R,194,2017-02-18, , 
71,gimsin'yeong [~],1p ?,iyujin [~],1p ?,W+1.5,304,2017-02-18, , 
72,ÍõÔó½õ,5p,ÀîÎ¬Çå,4p,W+R,228,2017-02-18, , 
73,ÕÔÖÐêÑ,2p,Yu Zhi Ying,5p,W+R,224,2017-02-18, , 
74,ceonjeujien [~],4p,ryaowianheo [~],5p,B+R,121,2017-02-18, , 
75,Gan Siyang,5p,Wang Haoyang,6p,B+R,185,2017-02-18, , 
76,º«Ò»ÖÞ,5p,Peng Quan,7p,B+R,221,2017-02-18, , 
77,Liu Xing,7p,Wang Lei,8p,"B+2,75",234,2017-02-18, , 
78,Xiao Zhenghao,9p,Wang Yuanjun,8p, ,263,2017-02-18, , 
79,Park Jieun,9p,Kim Hyeomin,8p,W+R,184,2017-02-18, , 
80,³ÂÕýÑ«,3p,Chang Hao,9p,B+1.5,315,2017-02-18, , 
81,Kim Yunyoung,4p,bagtaehyi [~],1p ?,B+R,167,2017-02-17, , 
82,oyujin [~],5p,gweonjuri [~],1p ?,B+R,119,2017-02-17, , 
83,iyeongju [~],2p,Park Jiyeon,4p,W+1.5,346,2017-02-17, , 
84,·¶Ø·,6p,ÊæÒ»Ð¦,4p,B+R,131,2017-02-17, , 
85,Âí¹â×Ó,3p,Yu Zhi Ying,5p,W+R,98,2017-02-17, , 
86,Hu Ran Min,4p,Cai Jing,6p,W+R,212,2017-02-17, , 
87,Cho Hyeyeon,9p,coe [~], ,B+R,277,2017-02-16, , 
88,Moon To Won,3p,Jin Caiying,2p,W+R,206,2017-02-16, , 
89,Cai Jing,6p,ÅËê¿çâ,2p,B+R,143,2017-02-16, , 
90,ÂíÒÝ³¬,4p,½¹Ê¿Î¬,3p,W+R,180,2017-02-16, , 
91,Yamada Kimio,9p,ÁùÆÖÐÛÌ«,3p,B+R,229,2017-02-16, , 
92,gangdajeong [~],1p ?,ssungrunghui [~],5p,B+R,163,2017-02-16, , 
93,¿ÜÕþÑÒ,2p,Yu Zhi Ying,5p,W+R,176,2017-02-16, , 
94,Ò»Á¦ÁÉ,7p,Xie Yimin,6p,B+R,153,2017-02-16, , 
95,Kim Seung Jae,7p,Shin Jinseo,6p,W+R,148,2017-02-16, , 
96,Kobayashi Satoru,9p,Suzuki Shinji,7p,B+R,233,2017-02-16, , 
97,³ÂÐñ¶«,2p,Wang Lei,8p,W+2.5,357,2017-02-16, , 
98,Ò»Á¦ÁÉ,7p,Murakawa Daisuke,8p,B+R,199,2017-02-16, , 
99,Cai Bihan,2p,Chang Hao,9p,W+0.5,284,2017-02-16, , 
100,Numadate Sakiya,5p,Cho Sonjin,9p,W+R,252,2017-02-16, , 
1,Xie Yimin,6p,Cho Chikun,9p,B+R,145,2017-02-16, , 
2,Rin Kanketsu,7p,Ryu Shikun,9p,B+R,217,2017-02-16,"Oza, 65th, last preliminary tournament", 
3,Kono Rin,9p,Iyama Yuta,9p,B+R,179,2017-02-16,"Kisei, 41st","Title match, game 4"
4,seolhyeonjun [~],3p,bagsangjin [~],1p ?,B+2.5,324,2017-02-15, , 
5,Sakai Hideyuki,8p,ºéŠ]Òå,1p ?, ,258,2017-02-15, , 
6,Àî½¨Óî,2p,ÖÜãüÓà,2p,B+R,137,2017-02-15, , 
7,ÕÔ¹áÈê,1p ?,Dong Ming,3p,W+R,166,2017-02-15, , 
8,Zheng Yan,2p,Wang Kun,8p,B+R,119,2017-02-15, , 
9,Kubo Katsuaki,9p,Seto Taiki,8p,W+R,228,2017-02-15, , 
10,Heo Yeongho,9p,Kim Jiseok,9p,W+R,184,2017-02-14, , 
11,´óÎ÷ÑÐÒ²,3p,¸ßµºÓ¿Îá,2p,B+6.5,237,2017-02-13, , 
12,°²´ïÀû²ý,4p,½ª•Gºî,2p,B+R,197,2017-02-13, , 
13,Kang Dongyun,9p,Kim Seong-ryong,9p,B+R,233,2017-02-13, , 
14,É½³Çºê°ÂÌï²Ê, ,ÕÔÖÎÑ«ÁåÄ¾²½, ,W+R,134,2017-02-12, , 
15,Óð¸ùÖ±Ê÷ÌÙÔóÀï²Ë, ,É½ÏÂ¾´ÎáÍò²¨ÄÎËë, ,B+R,147,2017-02-12, , 
16,Ryu Minhyung,5p,Kim Jiseok,9p,W+R,222,2017-02-10, , 
17,An Kukhyun,6p,Lee Yeongkyu,9p,B+R,155,2017-02-10, ,1/8 Final
18,Iyama Yuta,9p,Kono Rin,9p,B+1.5,279,2017-02-10,"Kisei, 41st","Title match, game 3"
19,Ìï´åÇ§Ã÷,3p,Ìï¿ÚÃÀÐÇ,1p ?,W+R,282,2017-02-09, , 
20,ÌïÖÐÖÇ»Ý×Ó,4p,µ¾Ò¶»¨Àæ,1p ?,W+6.5,259,2017-02-09, , 
21,Å£ÈÙ×Ó,1p ?,Ê¯¾®Üç,3p,B+R,219,2017-02-09, , 
22,Weon Seongjin,9p,Shin Minjun,5p,W+R,192,2017-02-09, , 
23,Takemiya Masaki,9p,ÁåÄ¾¼ÎÂ×,7p,B+R,223,2017-02-09, , 
24,Xiao Zhenghao,9p,Wang Yuanjun,8p,B+R,111,2017-02-09, , 
25,ËÂÉ½Á¯,4p,Ishida Yoshio,9p,B+5.5,243,2017-02-09, , 
26,Ð¡É½ÁúÎá,6p,Otake Hideo,9p,W+R,186,2017-02-09, , 
27,Ko Iso,8p,Kudo Norio,9p,B+R,259,2017-02-09, , 
28,¸ßÀæÊ¥½¡,8p,Kataoka Satoshi,9p,W+5.5,185,2017-02-09, , 
29,Ishii Kunio,9p,Cho Sonjin,9p,B+4.5,308,2017-02-09,"Oza, 65th, last preliminary tournament", 
30,bagjonghun [~],2p,coeyeongcan [~],1p ?,W+R,160,2017-02-08, , 
31,Îâ²®Òã,3p,Yata Naoki,9p,W+R,160,2017-02-08, , 
32,Sakai Hideyuki,8p,Yokota Shigeaki,9p, ,265,2017-02-08, , 
33,Zhou Ruiyang,9p,Dang Yifei,9p,W+1.5,294,2017-02-08,"LG Cup, 21st","Final, game 2"
34,Hong Seongji,9p,Park Jieun,9p,B+1.5,277,2017-02-07, ,1/8 Final
35,Ð¡É½¿ÕÒ²,3p,¶É±ßÓÉÓî,1p ?,W+R,193,2017-02-06, , 
36,Xie Yimin,9p,Nyu Eiko,1p ?,B+R,161,2017-02-06,"Female Kisei, 20th","Title match, game 3"
37,Î÷½¡Éì,1p ?,ÕÅÈð½Ü,2p,B+R,243,2017-02-06, , 
38,Kobayashi Koichi,9p,´óÎ÷ÁúÆ½,2p, ,264,2017-02-06, , 
39,Yuki Satoshi,9p,Ida Atsushi,8p,B+R,129,2017-02-06, , 
40,Dang Yifei,9p,Zhou Ruiyang,9p,B+R,187,2017-02-06,"LG Cup, 21st","Final, game 1"
41,Park Jungwhan,9p,Lee Yeongkyu,9p,B+R,171,2017-02-06, , 
42,coe jeong [~],7p,Yu Zhi Ying,5p,B+R,167,2017-02-05, , 
43,Iyama Yuta,9p,Kono Rin,9p, ,217,2017-02-05, , 
44,Choi Kihoon,5p,Park Jungsang,9p,B+1.5,291,2017-02-03, , 
45,Yoshida Mika & Cho Chikun,8p,Ë®»§Ï¦ÏãÀï,3p,W+8.5,253,2017-02-02, , 
46,Ishida Yoshio,9p,ËÂÉ½Á¯,4p,W+5.5,242,2017-02-02, , 
47,seolhyeonjun [~],3p,An Kukhyun,6p,W+R,178,2017-02-02, , 
48,Yashiro Kumiko,6p,Sugiuchi Kazuko,8p,B+R,171,2017-02-02, , 
49,ÑÒÍèÆ½,6p,Ida Atsushi,8p,W+R,186,2017-02-02, , 
50,ÌÙ´åÑó¸¨,3p,Kobayashi Satoru,9p,W+R,216,2017-02-02, , 
